fitting_id,fitting_cluster_id,physical_location_status,geometry_dimension_status,missing_geometry_fields,pressure_plane_basis_status,source_page_audit_need,candidate_source_family,model_lane_assignment,pressure_corner_recovery_label,pressure_corner_recovery_reason,next_evidence_action,must_remain_forbidden,coefficient_admission_status,evidence_paths
FIT-CORNER-LOWER-LEFT,CLUSTER-CORNER-LOWER-LEFT,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,recover bend radius/miter/part data; Al-Tameemi/Ricco remains screening-only unless sharp-miter geometry and Re range match,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,recirculation_gate_before_cluster_or_component_review,,,basis_recovery_and_recirc_gate_before_any_component_or_cluster_review,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-CORNER-LOWER-RIGHT,CLUSTER-CORNER-LOWER-RIGHT,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,component_isolation;ordinary_low_reverse_anchor;admissible_straight_reference;same_QOI_mesh_time_UQ;final_q_ref_orientation;recovery_length_D;part_number;bend_radius_ratio_Rc_over_D,finite_static_hydrostatic_kinetic_endpoint_basis_but_material_reverse_flow_missing_same_qoi_UQ,recover bend radius/miter/part data; Al-Tameemi/Ricco remains screening-only unless sharp-miter geometry and Re range match,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only;Delafosse_Tajsoleiman_exchange_sources_for_recirc_lane,recirculating_section_effective_candidate_current_pressure_rows,section_effective,pressure-corner audit labels all current Salt2-Salt4 rows section_effective; not component_K,use nonrecirculating same-topology anchor for ordinary K contrast or recirc residual scorer for section-effective lane,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-CORNER-UPPER-RIGHT,CLUSTER-CORNER-UPPER-RIGHT,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,recover bend radius/miter/part data; Al-Tameemi/Ricco remains screening-only unless sharp-miter geometry and Re range match,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,ordinary_component_or_cluster_precheck_after_basis_recovery,,,recover pressure/velocity basis and component isolation before any cluster_K review,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-CORNER-UPPER-LEFT,CLUSTER-CORNER-UPPER-LEFT,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,recover bend radius/miter/part data; Al-Tameemi/Ricco remains screening-only unless sharp-miter geometry and Re range match,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,recirculation_gate_before_cluster_or_component_review,,,basis_recovery_and_recirc_gate_before_any_component_or_cluster_review,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-QUARTZ-LOWER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,resolved_by_geometry_reference_diameter_change_transition_shape_unresolved,partial_D_ratio_known_transition_length_angle_edge_radius_missing,actual transition length;reducer_half_angle;edge_radius;part_number;pressure_tap_planes;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,recover VDI/Idelchik/Crane/Miller area-change pages plus facility/CAD dimensions before any source equation,VDIHeatAtlas2010;NIST_TN2206;HooperDarby_screening_only;Idelchik_Crane_Miller_needed,quartz_transition_cluster_or_exchange_cell_until_recirc_and_geometry_resolved,,,"extract transition geometry and pressure planes, then keep as section/cluster unless recirculation is resolved",numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-QUARTZ-UPPER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,resolved_by_geometry_reference_diameter_change_transition_shape_unresolved,partial_D_ratio_known_transition_length_angle_edge_radius_missing,actual transition length;expansion_half_angle;edge_radius;recovery_length_D;pressure_recovery_sweep;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,recover VDI/Idelchik/Crane/Miller area-change pages plus facility/CAD dimensions before any source equation,VDIHeatAtlas2010;NIST_TN2206;HooperDarby_screening_only;Idelchik_Crane_Miller_needed,quartz_transition_cluster_or_exchange_cell_until_recirc_and_geometry_resolved,,,separate static recovery from loss and keep as test-section complex residual until evidence isolates component,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
CLUSTER-TEST-SECTION-COMPLEX,CLUSTER-TEST-SECTION-COMPLEX,resolved_composite_upcomer_region_component_boundaries_unresolved,partial_component_D_known_cluster_boundaries_cell_volume_exchange_geometry_missing,component boundaries;cell volume;exchange mass flux;recirculation residence time;pressure residual family;same_QOI_UQ;pressure planes that bracket only the complex;thermal/pressure residual split,pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,use NIST/Salehi naming methods and exchange-cell evidence requirements; no scalar source page until component boundaries exist,NIST_TN2206;SalehiIdemSleiti2017;Delafosse_Tajsoleiman_exchange_sources;MF-04_exchange_cell,throughflow_recirc_exchange_cell_design_lane,,,handoff to throughflow_plus_recirc_exchange_cell lane after CFD cell evidence exists,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-HEAT-EXCHANGER-REDUCER,CLUSTER-UPPER-COOLER-HX,facility_reported_location_unresolved_in_current_CFD_pressure_inventory,missing_D_up_D_down_area_ratio_angle_edge_radius_location_part_number,exact location;D_up;D_down;area_ratio;reducer_or_expansion_angle;edge_radius;part_number;pressure planes;velocity basis;cooler/reducer cluster boundaries;straight reference;same_QOI_UQ,pressure_plane_basis_absent_until_physical_location_is_mapped,recover VDI/Idelchik/Crane/Miller area-change pages plus facility/CAD dimensions before any source equation,VDIHeatAtlas2010;NIST_TN2206;Idelchik_Crane_Miller_needed,source_gap_only_until_physical_location_and_dimensions_recovered,,,recover facility part/dimensions and decide whether pressure planes can bracket reducer separately from cooler jacket,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-TEE-CORNER-FACILITY,CLUSTER-JUNCTION-OTHER,facility_reported_location_unresolved_in_current_geometry_reference,missing_location_branch_numbering_topology_angle_split_part_number,exact location;part_number;branch numbering;tee topology;branch angle;junction_angle;flow_split_ratio;signed path mdot;pressure nodes;velocity basis;pressure basis;recirculation map;same_QOI_UQ,pressure_plane_basis_absent_until_physical_location_is_mapped,recover facility tee topology and branch numbering before Patino-Jaramillo reduced-static source mapping,PatinoJaramillo2022Coeff;PatinoJaramillo2022Flow;NIST_TN2206;ZhangWang_Wu_Codde_Schmandt,signed_flow_junction_feasibility_only_if_discrete_branch_reversal_exists,,,only open signed-flow junction lane if a discrete modeled branch changes net sign; otherwise route local exchange to MF-04,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
CLUSTER-JUNCTION-OTHER,CLUSTER-JUNCTION-OTHER,thermal_patch_group_known_physical_pressure_fittings_unresolved,missing_physical_fitting_members_and_pressure_boundaries,which physical fittings are included;pressure planes;component boundaries;thermal/pressure separation;geometry class per fitting;velocity basis;hydrostatic and kinetic corrections;same_QOI_UQ,pressure_plane_basis_absent_until_physical_location_is_mapped,map physical fittings inside junction_other before selecting pressure-loss source pages,NIST_TN2206;VDIHeatAtlas2010_for_thermal_resistance_context,junction_cluster_map_required_before_pressure_lane,,,build physical junction map from facility/CAD/mesh patches before pressure source-envelope review,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
