case_key,study_group,salt_anchor,parent_source_id,target_heater_power_W,target_heater_patch_Q_W,q_ratio_vs_salt3_nominal,insulation_mode,passive_insulated_h_multiplier,active_patch_mutation_required,cooler_policy,target_regime,priority,run_after_gate,scientific_use,rationale
salt3_jin_q1500w_hiins_onset_anchor,sentinel_cell_off,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1500,500,5.04201680672,hiins,0.5,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",high_Re_high_insulation_cell_off_target,1,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Push Re upward without forced flow while reducing passive wall cooling; intended to find a no/material-low-cell endpoint.
salt3_jin_q0150w_loins_onset_anchor,sentinel_cell_max,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,150,50,0.504201680672,loins,2,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",low_Q_low_insulation_cell_max_target,1,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Lower throughflow and increase passive wall cooling to maximize wall-core drive and recirculation strength.
salt3_jin_q0250w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,hiins,0.5,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0250w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,baseline,1,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0250w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,loins,2,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0500w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,hiins,0.5,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0500w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,baseline,1,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0500w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,loins,2,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q1000w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1000,333.333333333,3.36134453782,hiins,0.5,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q1000w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1000,333.333333333,3.36134453782,baseline,1,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,after AGENT-471/475 high-heat Salt4 jobs reach restart preflight and at least early foamRun,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
