task_id,priority,role,scope,goal,depends_on,success_criteria
TODO-PRED-INPUT-CONTRACT,HIGH,Coordinator/Writer,"operational note plus machine-readable input contract","Classify every forward-model field as setup input, calibrated parameter, validation target, or diagnostic-only CFD evidence","AGENT-286","reviewed table accepted; no runtime path uses validation targets"
TODO-PRED-FORWARD-V0,HIGH,Implementer/Tester,"repo-local or Fluid branch forward-v0 runner and tests","Run pressure-rooted 1D forward mode with heater input and imposed cooler duty; output mdot and sensors","TODO-PRED-INPUT-CONTRACT","mdot solved, no CFD mdot runtime input, outputs score mdot/T sensors against validation only"
TODO-PRED-HX-FIT,HIGH,Implementer/Tester/Writer,"cooler/HX UA or epsilon-NTU fit package","Replace imposed cooler duty with low-dimensional predictive HX parameterization","TODO-PRED-FORWARD-V0","training rows reduce cooler residual and held-out rows are reported without refit"
TODO-PRED-HEATER-TEST-CONTRACT,HIGH,Implementer/Writer,"heater/test-section source-sink contract package","Implement eta_heater and test-section source-plus-loss representation","TODO-PRED-INPUT-CONTRACT","section heat comparison improves without per-case source hacks"
TODO-PRED-WALL-LAYER,HIGH,Implementer/Tester,"wall/shell/bulk thermal extraction and E0/E1/E2 replay","Extract T_mix_signed/T_fwd_bulk/T_path_bulk/T_wall_inner/T_wall_shell/T_ext_drive and test wall-layer drive mappings","TODO-PRED-INPUT-CONTRACT","E1 or E2 explains N2 overcooling with section-family parameters only"
TODO-PRED-HYDRAULIC-GATE,MED_HIGH,Implementer/Reviewer,"pressure-rooted mdot gate package","Quantify mdot predictivity using pressure-only fit-safe rows before thermal claims","AGENT-262;AGENT-284","mdot residuals and pressure residuals reported with fit-safe flags"
TODO-PRED-THERMAL-MESH-GATE,MED_HIGH,Implementer/Tester,"Salt2-first thermal extraction/GCI continuation","Resolve thermal mesh uncertainty for h/Nu/UA candidate rows","AGENT-284","at least one thermal QOI has documented mesh/time uncertainty or remains explicitly blocked"
TODO-PRED-SENSOR-MAP,MEDIUM,Writer/Implementer,"sensor location contract and station mapping note","Confirm or bound TP/TW sensor coordinates and map to 1D path positions","TODO-PRED-FORWARD-V0","sensor comparisons label coordinate uncertainty and do not hide energy residuals"
TODO-PRED-VALIDATION-SPLIT,HIGH,Coordinator/Writer,"train/validation admission protocol","Define which Salt/corrected-Q/low-heat rows train, validate, or remain blocked","TODO-PRED-HX-FIT;TODO-PRED-HEATER-TEST-CONTRACT","held-out rows exist before any fitted thermal correction is called predictive"
TODO-PRED-ENDTOEND-SCORE,HIGH,Implementer/Writer,"end-to-end prediction scorecard","Run the final selected model in predictive mode and score mdot, branch heat, Tmean, loop delta, TP/TW","all previous gates","one table separates training vs heldout, uncertainty, and residual attribution"
