canonical_leg_id,reported_segment,qoi,review_admission_class,sign_heat_balance_gate,blocking_tokens,next_action,source_path
heater_lower_leg,lower_leg,wallHeatFlux,validation_only,fail,repaired_q_sign_label_conflict,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
heater_lower_leg,lower_leg,enthalpy_change,validation_only,fail,repaired_q_sign_label_conflict,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
heater_lower_leg,lower_leg,segment_duty,validation_only,fail,repaired_q_sign_label_conflict,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
heater_lower_leg,lower_leg,HTC,validation_only,fail,coarse_sign_review_required;fine_sign_review_required;internal_Nu_residual_absorption_forbidden;medium_sign_review_required;repaired_q_sign_label_conflict,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
heater_lower_leg,lower_leg,Nu,blocked,fail,coarse_sign_review_required;fine_sign_review_required;internal_Nu_residual_absorption_forbidden;medium_sign_review_required;missing_or_nonfinite_coarse_medium_or_fine_value;repaired_q_sign_label_conflict,repair_missing_or_nonfinite_metric_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
heater_lower_leg,lower_leg,UA_prime,validation_only,fail,coarse_sign_review_required;fine_sign_review_required;internal_Nu_residual_absorption_forbidden;medium_sign_review_required;repaired_q_sign_label_conflict,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
upcomer_left_vertical,upcomer,wallHeatFlux,validation_only,fail,high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
upcomer_left_vertical,upcomer,enthalpy_change,validation_only,fail,high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
upcomer_left_vertical,upcomer,segment_duty,validation_only,fail,high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
upcomer_left_vertical,upcomer,HTC,validation_only,fail,coarse_sign_review_required;fine_sign_review_required;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;internal_Nu_residual_absorption_forbidden;large_wallHeatFlux_enthalpy_residual;medium_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
