blocker_id,current_status,evidence,gate_id,minimum_acceptance,next_action,priority,queue_id,required_evidence,source_path,status
upcomer-onset-data-sparsity,blocked_pending_terminal_admission_or_new_design,,,"At least one admitted point below/near route_B_mid and one admitted point above route_A_mid, with no refit to validation/holdout rows.",,high,upcomer:1,terminal corrected Salt-Q points near onset,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/next_evidence_requirements.csv,
upcomer-onset-data-sparsity,missing,,,"A point with backflow_fraction <= 0.02 and Ri_median < 0.30, or a bounded transition pair straddling backflow_fraction 0.02-0.10.",,high,upcomer:2,non-recirculating or transition anchor,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/next_evidence_requirements.csv,
upcomer-onset-data-sparsity,missing,,,"Coarse/medium/fine or documented time-window uncertainty for backflow_fraction, Ri_median, and Nu_upcomer.",,medium,upcomer:3,mesh/time uncertainty for onset metrics,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/next_evidence_requirements.csv,
upcomer-onset-data-sparsity,missing,,,Wall/bulk temperature difference on the same retained window and section definition as backflow/Ri.,,medium,upcomer:4,wall-core or wall-bulk Delta T extraction,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/next_evidence_requirements.csv,
f6-friction-re-correction,missing_current_pm5_rows_are_diagnostic_only,,,validation/holdout improvement over F3_shah_apparent without hidden global multiplier,,medium,f6:non_recirculating_or_hybrid_model_evidence,non-recirculating pressure rows or explicit recirculation-modeled F6/onset closure,work_products/2026-07/2026-07-15/2026-07-15_f6_internal_nu_admission_review_and_forward_unblock/f6_fit_candidate_table.csv,
upcomer-onset-data-sparsity,complete_in_AGENT_495_package,,,0 ordinary Nu/f_D/K rows admitted from material recirculation evidence,,complete,upcomer:row_policy,row-level policy guardrail that current recirculating rows are diagnostic only,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/upcomer_row_admission_ledger.csv,
,,ordinary reopening gate emits 0 admitted Nu rows,ordinary_internal_nu_reopening_gate,,keep ordinary internal Nu closed,,,,,fail_zero_reopened_internal_Nu_rows
,,"missing V_recirc, mdot_exchange, T_recirc, pressure residual basis, energy closure, and UQ",exchange_cell_readiness_gate,,run separate evidence extraction before calibration,,,,,fail_no_fit_ready_exchange_cell
,,runtime and heat-path contracts forbid residual absorption,residual_attribution_gate,,carry residual as named unresolved/exchange target,,,,,pass_residual_not_hidden_in_internal_Nu
,,no runtime-legal heat-loss candidate or internal-Nu reopening candidate passed,phase5_trigger_gate,,Phase 5 remains trigger-gated,,,,,not_triggered
