case_id,section_or_segment,property_mode,property_mode_status,property_sensitivity_label,mean_Re_ratio_to_replication,mean_Pr_ratio_to_replication,mean_Gz_ratio_to_replication,source_validity_envelope_status,source_overlap_counts,source_use_categories,source_bounded_promotion_status,provenance_author_title,fit_use_status,carryforward_blocker_status,source_paths
salt_2,left_lower_leg,jin_viscosity_cp_1560_k_060,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,1.2965679,0.45195475,0.58598206,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_lower_leg,jin_viscosity_parida_cp_santini_k,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,1.2965679,0.45711284,0.59267067,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_lower_leg,replication_reis_jadyn,reference_or_replication_mode_reported,reported_reference_mode,1,1,1,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_lower_leg,shen_celsius_comparison,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,1.2965679,0.4297197,0.55715158,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_lower_leg,sohal_janz_full,reference_or_replication_mode_reported,reported_reference_mode,1,1.082639,1.082639,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_upper_leg,jin_viscosity_cp_1560_k_060,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,1.2965679,0.45195475,0.58598206,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_upper_leg,jin_viscosity_parida_cp_santini_k,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,1.2965679,0.45711284,0.59267067,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_upper_leg,replication_reis_jadyn,reference_or_replication_mode_reported,reported_reference_mode,1,1,1,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_upper_leg,shen_celsius_comparison,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,1.2965679,0.4297197,0.55715158,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
salt_2,left_upper_leg,sohal_janz_full,reference_or_replication_mode_reported,reported_reference_mode,1,1.082639,1.082639,mixed_or_outside_envelope_label_required,inside=1;outside=2;unknown=1,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,candidate_or_gate_rows=2,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",not_fit_recirculation,diagnostic_or_blocked_label_required,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
